nohup: ignoring input
INFO:root:Epoch 1/15
INFO:root:Batch Loss (Cross Entropy Loss): 2.3102 | Categorical Accuracy: 0.1250
INFO:root:Batch Loss (Cross Entropy Loss): 2.3934 | Categorical Accuracy: 0.0625
INFO:root:Batch Loss (Cross Entropy Loss): 2.3816 | Categorical Accuracy: 0.0625
INFO:root:Batch Loss (Cross Entropy Loss): 2.2948 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.2652 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.2277 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.2537 | Categorical Accuracy: 0.2188
INFO:root:Batch Loss (Cross Entropy Loss): 2.2998 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.0973 | Categorical Accuracy: 0.2500
INFO:root:Batch Loss (Cross Entropy Loss): 2.1279 | Categorical Accuracy: 0.2812
INFO:root:Batch Loss (Cross Entropy Loss): 2.1358 | Categorical Accuracy: 0.4062
INFO:root:Batch Loss (Cross Entropy Loss): 2.1163 | Categorical Accuracy: 0.3750
INFO:root:Batch Loss (Cross Entropy Loss): 1.8512 | Categorical Accuracy: 0.6250
INFO:root:Batch Loss (Cross Entropy Loss): 1.9881 | Categorical Accuracy: 0.5000
INFO:root:Batch Loss (Cross Entropy Loss): 1.9408 | Categorical Accuracy: 0.4688
INFO:root:Batch Loss (Cross Entropy Loss): 1.8884 | Categorical Accuracy: 0.6250
INFO:root:Batch Loss (Cross Entropy Loss): 1.6541 | Categorical Accuracy: 0.6875
INFO:root:Batch Loss (Cross Entropy Loss): 1.7169 | Categorical Accuracy: 0.5625
INFO:root:Batch Loss (Cross Entropy Loss): 1.8885 | Categorical Accuracy: 0.3438
INFO:root:Batch Loss (Cross Entropy Loss): 1.6871 | Categorical Accuracy: 0.5938
INFO:root:Batch Loss (Cross Entropy Loss): 1.7428 | Categorical Accuracy: 0.5000
INFO:root:Batch Loss (Cross Entropy Loss): 1.7326 | Categorical Accuracy: 0.4375
INFO:root:Batch Loss (Cross Entropy Loss): 1.8411 | Categorical Accuracy: 0.3438
INFO:root:Batch Loss (Cross Entropy Loss): 1.5869 | Categorical Accuracy: 0.6250
INFO:root:Batch Loss (Cross Entropy Loss): 1.6069 | Categorical Accuracy: 0.6250
INFO:root:Batch Loss (Cross Entropy Loss): 1.5163 | Categorical Accuracy: 0.6562
INFO:root:Batch Loss (Cross Entropy Loss): 1.2412 | Categorical Accuracy: 0.7812
INFO:root:Batch Loss (Cross Entropy Loss): 1.5740 | Categorical Accuracy: 0.5312
INFO:root:Batch Loss (Cross Entropy Loss): 1.3038 | Categorical Accuracy: 0.6875
INFO:root:Batch Loss (Cross Entropy Loss): 1.3200 | Categorical Accuracy: 0.6562
INFO:root:Batch Loss (Cross Entropy Loss): 1.2341 | Categorical Accuracy: 0.6562
INFO:root:Batch Loss (Cross Entropy Loss): 1.0641 | Categorical Accuracy: 0.7500
INFO:root:Batch Loss (Cross Entropy Loss): 0.9020 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 1.0827 | Categorical Accuracy: 0.7188
INFO:root:Batch Loss (Cross Entropy Loss): 1.1153 | Categorical Accuracy: 0.6562
INFO:root:Batch Loss (Cross Entropy Loss): 0.7907 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 1.0475 | Categorical Accuracy: 0.7188
INFO:root:Batch Loss (Cross Entropy Loss): 0.8469 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.7974 | Categorical Accuracy: 0.7812
INFO:root:Batch Loss (Cross Entropy Loss): 0.9289 | Categorical Accuracy: 0.7500
INFO:root:Batch Loss (Cross Entropy Loss): 0.9174 | Categorical Accuracy: 0.7500
INFO:root:Batch Loss (Cross Entropy Loss): 0.7401 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.4315 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.4654 | Categorical Accuracy: 0.9688
INFO:root:Batch Loss (Cross Entropy Loss): 0.5944 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.5574 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.7780 | Categorical Accuracy: 0.6875
INFO:root:Batch Loss (Cross Entropy Loss): 0.8712 | Categorical Accuracy: 0.7812
INFO:root:Batch Loss (Cross Entropy Loss): 0.5402 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.7120 | Categorical Accuracy: 0.7812
INFO:root:Batch Loss (Cross Entropy Loss): 1.0171 | Categorical Accuracy: 0.6250
INFO:root:Batch Loss (Cross Entropy Loss): 0.5995 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.7275 | Categorical Accuracy: 0.7812
INFO:root:Batch Loss (Cross Entropy Loss): 0.6729 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.4724 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.6655 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.4158 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.6262 | Categorical Accuracy: 0.8125
