nohup: ignoring input
INFO:root:Epoch 1/15
INFO:root:Batch Loss (Cross Entropy Loss): 2.3417 | Categorical Accuracy: 0.1250
INFO:root:Batch Loss (Cross Entropy Loss): 2.3496 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.3513 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 3.7624 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 1.8042 | Categorical Accuracy: 0.4375
INFO:root:Batch Loss (Cross Entropy Loss): 2.8152 | Categorical Accuracy: 0.2500
INFO:root:Batch Loss (Cross Entropy Loss): 3.7461 | Categorical Accuracy: 0.3750
INFO:root:Batch Loss (Cross Entropy Loss): 2.9176 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.2451 | Categorical Accuracy: 0.2812
INFO:root:Batch Loss (Cross Entropy Loss): 2.3938 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.4064 | Categorical Accuracy: 0.2500
INFO:root:Batch Loss (Cross Entropy Loss): 2.4167 | Categorical Accuracy: 0.3750
INFO:root:Batch Loss (Cross Entropy Loss): 3.8031 | Categorical Accuracy: 0.3438
INFO:root:Batch Loss (Cross Entropy Loss): 3.0124 | Categorical Accuracy: 0.2812
INFO:root:Batch Loss (Cross Entropy Loss): 5.1725 | Categorical Accuracy: 0.3125
INFO:root:Batch Loss (Cross Entropy Loss): 4.5890 | Categorical Accuracy: 0.3125
INFO:root:Batch Loss (Cross Entropy Loss): 3.3254 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.1712 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.3199 | Categorical Accuracy: 0.3125
INFO:root:Batch Loss (Cross Entropy Loss): 4.5061 | Categorical Accuracy: 0.2812
INFO:root:Batch Loss (Cross Entropy Loss): 2.6603 | Categorical Accuracy: 0.3125
INFO:root:Batch Loss (Cross Entropy Loss): 2.7740 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 3.7946 | Categorical Accuracy: 0.2500
INFO:root:Batch Loss (Cross Entropy Loss): 12.0357 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.3413 | Categorical Accuracy: 0.0938
INFO:root:Batch Loss (Cross Entropy Loss): 2.5985 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.4452 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.1559 | Categorical Accuracy: 0.2188
INFO:root:Batch Loss (Cross Entropy Loss): 2.1833 | Categorical Accuracy: 0.2188
INFO:root:Batch Loss (Cross Entropy Loss): 2.2600 | Categorical Accuracy: 0.4062
INFO:root:Batch Loss (Cross Entropy Loss): 2.4599 | Categorical Accuracy: 0.0938
INFO:root:Batch Loss (Cross Entropy Loss): 2.2223 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.4489 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.2845 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 1.9289 | Categorical Accuracy: 0.3438
INFO:root:Batch Loss (Cross Entropy Loss): 2.5739 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 3.1333 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 3.3860 | Categorical Accuracy: 0.1250
INFO:root:Batch Loss (Cross Entropy Loss): 3.5061 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.2786 | Categorical Accuracy: 0.2188
INFO:root:Batch Loss (Cross Entropy Loss): 2.1077 | Categorical Accuracy: 0.3438
INFO:root:Batch Loss (Cross Entropy Loss): 2.5567 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.4220 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.3073 | Categorical Accuracy: 0.0625
INFO:root:Batch Loss (Cross Entropy Loss): 2.1216 | Categorical Accuracy: 0.3438
INFO:root:Batch Loss (Cross Entropy Loss): 2.1081 | Categorical Accuracy: 0.2500
INFO:root:Batch Loss (Cross Entropy Loss): 2.8167 | Categorical Accuracy: 0.2812
INFO:root:Batch Loss (Cross Entropy Loss): 3.2394 | Categorical Accuracy: 0.2812
INFO:root:Batch Loss (Cross Entropy Loss): 2.1269 | Categorical Accuracy: 0.3125
INFO:root:Batch Loss (Cross Entropy Loss): 2.6104 | Categorical Accuracy: 0.2500
INFO:root:Batch Loss (Cross Entropy Loss): 2.2488 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.2850 | Categorical Accuracy: 0.0938
INFO:root:Batch Loss (Cross Entropy Loss): 3.3621 | Categorical Accuracy: 0.2812
INFO:root:Batch Loss (Cross Entropy Loss): 2.8008 | Categorical Accuracy: 0.1875
INFO:root:Batch Loss (Cross Entropy Loss): 2.4592 | Categorical Accuracy: 0.0625
INFO:root:Batch Loss (Cross Entropy Loss): 2.3177 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.3261 | Categorical Accuracy: 0.0938
INFO:root:Batch Loss (Cross Entropy Loss): 2.3727 | Categorical Accuracy: 0.1562
INFO:root:Batch Loss (Cross Entropy Loss): 2.4121 | Categorical Accuracy: 0.1250
INFO:root:Batch Loss (Cross Entropy Loss): 2.3455 | Categorical Accuracy: 0.0625
