INFO:root:Epoch 1/100
INFO:root:Batch Loss (Square Loss): 0.1833 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1243 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1418 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1240 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1283 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1210 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1248 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1178 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1638 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.2115 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1342 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1673 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.2114 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1392 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1029 | Accuracy: 0.7188
INFO:root:Batch Loss (Square Loss): 0.1448 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1920 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1595 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1634 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1213 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1283 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1090 | Accuracy: 0.6875
INFO:root:Batch Loss (Square Loss): 0.1453 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1449 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1708 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1388 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1846 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1983 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.1728 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1567 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1503 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1366 | Accuracy: 0.5000
INFO:root:Epoch 2/100
INFO:root:Batch Loss (Square Loss): 0.1433 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1568 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.3015 | Accuracy: 0.2812
INFO:root:Batch Loss (Square Loss): 0.1321 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1967 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1320 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1372 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1616 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1568 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1216 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1240 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1376 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1954 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.1742 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1530 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1593 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1740 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1378 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1741 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1171 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1316 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1560 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1989 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1240 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1972 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1201 | Accuracy: 0.6875
INFO:root:Batch Loss (Square Loss): 0.1050 | Accuracy: 0.7500
INFO:root:Batch Loss (Square Loss): 0.1651 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1579 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.3016 | Accuracy: 0.2812
INFO:root:Batch Loss (Square Loss): 0.1352 | Accuracy: 0.3438
INFO:root:Batch Loss (Square Loss): 0.0027 | Accuracy: 1.0000
INFO:root:Epoch 3/100
INFO:root:Batch Loss (Square Loss): 0.1814 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1669 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1258 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1307 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1529 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.2100 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1248 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1252 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1209 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1222 | Accuracy: 0.5938
