INFO:root:Epoch 1/200
INFO:root:Batch Loss (Square Loss): 0.1246 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1245 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1246 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1245 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1248 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1242 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1234 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1255 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1223 | Accuracy: 0.7188
INFO:root:Batch Loss (Square Loss): 0.1220 | Accuracy: 0.6875
INFO:root:Batch Loss (Square Loss): 0.1240 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1214 | Accuracy: 0.6875
INFO:root:Batch Loss (Square Loss): 0.1238 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1245 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1230 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1237 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1286 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.1223 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1253 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1222 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1229 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1254 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1228 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1254 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1236 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1272 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1304 | Accuracy: 0.3125
INFO:root:Batch Loss (Square Loss): 0.1202 | Accuracy: 0.7188
INFO:root:Batch Loss (Square Loss): 0.1220 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1210 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1255 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1330 | Accuracy: 0.2500
INFO:root:Epoch 2/200
INFO:root:Batch Loss (Square Loss): 0.1198 | Accuracy: 0.7188
INFO:root:Batch Loss (Square Loss): 0.1254 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1280 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1221 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1254 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1245 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1211 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1254 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1236 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1264 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1254 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1193 | Accuracy: 0.7188
INFO:root:Batch Loss (Square Loss): 0.1275 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1226 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1206 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1235 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1245 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1224 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1202 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1199 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1196 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1258 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1258 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1283 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1245 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1222 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1197 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1194 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1246 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1246 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1246 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1153 | Accuracy: 0.7500
INFO:root:Epoch 3/200
INFO:root:Batch Loss (Square Loss): 0.1261 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1274 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1273 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1219 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1219 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1232 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1204 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1232 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1159 | Accuracy: 0.7188
